crop_disease,count,min,max,severity_range,diversity_std
rice_blast,233,0.004116185150667889,0.8106884057967343,0.8065722206460664,0.14163641596512586
soybean_frog_eye_leafspot,213,0.017405563458194693,0.767133382461029,0.7497278190028344,0.21378735755992462
corn_smut,200,0.13826928104575092,0.8757730124126837,0.7375037313669328,0.12998785383604242
tomato_early_blight,186,0.02425588175469503,0.7728576248312439,0.7486017430765488,0.1670404009501606
zucchini_powdery_mildew,185,0.017874432114396287,0.7696894448021033,0.751815012687707,0.18249938936426766
cucumber_powdery_mildew,172,0.013992172211350197,0.7472276688453119,0.7332354966339617,0.20407951638909969
tomato_late_blight,163,0.061917025080089644,0.7682307885983758,0.7063137635182861,0.20155085337561793
soybean_bacterial_blight,160,0.05875092952160591,0.730704912173198,0.6719539826515921,0.18911275848757866
tomato_leaf_mold,156,0.0503173398005289,0.8269079464984945,0.7765906066979656,0.17231914184152855
coffee_leaf_rust,153,0.013844195592168207,0.8001851851850369,0.7863409895928687,0.19500415940608243
rice_bacterial_blight,150,0.05842260568349384,0.8768248175174481,0.8184022118339542,0.15254317014265584
rice_brown_spot,150,0.004057971014492518,0.8669871794864847,0.8629292084719922,0.28383124355050476
cucumber_angular_leafspot,150,0.04736625253549671,0.760995742287914,0.7136294897524172,0.21162908511294998
corn_rust,139,0.031349322633726126,0.8766220585463392,0.8452727359126131,0.17745533698906937
cabbage_black_rot,131,0.020714812371453912,0.6546023923199176,0.6338875799484637,0.15783297990748812
corn_northern_leafblight,129,0.014997805199239045,0.6685322845535339,0.6535344793542948,0.16614613628869648
tomato_septoria_leafspot,123,0.02847073501701023,0.7251717032967002,0.69670096827969,0.17457485475161386
soybean_downy_mildew,123,0.024282296650717378,0.7755240351775915,0.7512417385268741,0.19503830623302465
potato_early_blight,123,0.019733052863546343,0.867257296009525,0.8475242431459786,0.22131078378850727
squash_powdery_mildew,121,0.22582461567685497,0.8676423040925673,0.6418176884157123,0.12270977881382182
coffee_berry_blotch,118,0.007547867601324628,0.7843045112780112,0.7767566436766865,0.16599841111414393
potato_late_blight,117,0.039313229143737374,0.770597698099433,0.7312844689556957,0.2228019931945346
maple_tar_spot,114,0.025560646250301217,0.768200202224275,0.7426395559739738,0.20040456105734114
bell_pepper_blossom_end_rot,112,0.05323159593899976,0.8400932400928485,0.7868616441538487,0.22020651312154735
soybean_mosaic_virus,111,0.13993969625368832,0.7747800925925882,0.6348403963388999,0.12423692789917128
garlic_rust,106,0.03713276571856273,0.7042042042031469,0.6670714384845842,0.15563559127820273
tomato_bacterial_leafspot,105,0.019821428571428393,0.7669494256406659,0.7471279970692375,0.18926707138297577
cucumber_bacterial_wilt,97,0.08966960034626965,0.7851703012589873,0.6955007009127177,0.14934640407481636
tomato_yellow_leaf_curl_virus,93,0.1635563229369472,0.5663895852574848,0.4028332623205376,0.0956133427080898
garlic_leafblight,92,0.022002846139301382,0.7794561933534475,0.7574533472141461,0.17513720790576723
corn_gray_leafspot,92,0.02213844476744176,0.8704980495327895,0.8483596047653478,0.18080199103437244
cedar_apple_rust,80,0.009165798693305385,0.7540740740737948,0.7449082753804894,0.20492018244731575
