crop_disease,count,mean,std,min,max,skewness,kurtosis
rice_blast,233,0.20461110407240973,0.14163641596512586,0.004116185150667889,0.8106884057967343,1.4281565822723636,2.596080934394049
soybean_frog_eye_leafspot,213,0.34614932297082474,0.21378735755992462,0.017405563458194693,0.767133382461029,0.21329086012440684,-1.2863359619200685
corn_smut,200,0.5780284481881369,0.12998785383604242,0.13826928104575092,0.8757730124126837,-0.4957982453084177,0.16341501058146424
tomato_early_blight,186,0.21765810246248152,0.1670404009501606,0.02425588175469503,0.7728576248312439,1.426024908404837,1.4444814081141644
zucchini_powdery_mildew,185,0.4400523372767053,0.18249938936426766,0.017874432114396287,0.7696894448021033,-0.7453891139486515,-0.23187111395548365
cucumber_powdery_mildew,172,0.41880053602084993,0.20407951638909969,0.013992172211350197,0.7472276688453119,-0.39723051639763834,-0.9557974452706266
tomato_late_blight,163,0.4081403107132671,0.20155085337561793,0.061917025080089644,0.7682307885983758,0.03935072123447781,-1.2633574601621191
soybean_bacterial_blight,160,0.31909506402669907,0.18911275848757866,0.05875092952160591,0.730704912173198,0.657438114549483,-0.8057992865452244
tomato_leaf_mold,156,0.3250126104912284,0.17231914184152855,0.0503173398005289,0.8269079464984945,0.6723025044094417,-0.27261339530672224
coffee_leaf_rust,153,0.3516568538058561,0.19500415940608243,0.013844195592168207,0.8001851851850369,0.3355477832533133,-0.8971424123528493
rice_bacterial_blight,150,0.29488836278957603,0.15254317014265584,0.05842260568349384,0.8768248175174481,0.6491839463944064,0.4062663945025755
rice_brown_spot,150,0.27654219002287295,0.28383124355050476,0.004057971014492518,0.8669871794864847,0.8480887164452813,-0.952223128048657
cucumber_angular_leafspot,150,0.3933405250624371,0.21162908511294998,0.04736625253549671,0.760995742287914,-0.10242008530454927,-1.3611869605319578
corn_rust,139,0.4608607563949331,0.17745533698906937,0.031349322633726126,0.8766220585463392,-0.2466430717534362,-0.2630674084183058
cabbage_black_rot,131,0.21873190344587096,0.15783297990748812,0.020714812371453912,0.6546023923199176,0.9931204543448163,0.034266044928761286
corn_northern_leafblight,129,0.2519704842317865,0.16614613628869648,0.014997805199239045,0.6685322845535339,0.8382678979862788,-0.22260548757893428
tomato_septoria_leafspot,123,0.32317859836194873,0.17457485475161386,0.02847073501701023,0.7251717032967002,0.3241446046443411,-0.7640372816486511
soybean_downy_mildew,123,0.4600553628264595,0.19503830623302465,0.024282296650717378,0.7755240351775915,-0.5938476471760075,-0.5519913309480566
potato_early_blight,123,0.306568639046295,0.22131078378850727,0.019733052863546343,0.867257296009525,0.6102084059263694,-0.8729559855469415
squash_powdery_mildew,121,0.5736743218241699,0.12270977881382182,0.22582461567685497,0.8676423040925673,-0.30790727050884864,0.14765939418890994
coffee_berry_blotch,118,0.16951803130930404,0.16599841111414393,0.007547867601324628,0.7843045112780112,1.9546954578729372,3.708431185428279
potato_late_blight,117,0.3542209332970112,0.2228019931945346,0.039313229143737374,0.770597698099433,0.2805002571171681,-1.4587616080778376
maple_tar_spot,114,0.24839580616343743,0.20040456105734114,0.025560646250301217,0.768200202224275,1.1653904850835035,0.32655281657401325
bell_pepper_blossom_end_rot,112,0.4947675544657228,0.22020651312154735,0.05323159593899976,0.8400932400928485,-0.4367011577235857,-1.0903611560531419
soybean_mosaic_virus,111,0.4774777702539254,0.12423692789917128,0.13993969625368832,0.7747800925925882,-0.1339128713157266,-0.33411319693192354
garlic_rust,106,0.26882981813877094,0.15563559127820273,0.03713276571856273,0.7042042042031469,0.6419029184290453,-0.2652437483136385
tomato_bacterial_leafspot,105,0.28111606601459205,0.18926707138297577,0.019821428571428393,0.7669494256406659,0.8537187366525173,0.0014193872149594888
cucumber_bacterial_wilt,97,0.30098836584104344,0.14934640407481636,0.08966960034626965,0.7851703012589873,1.081375213656097,0.6879953643522088
tomato_yellow_leaf_curl_virus,93,0.33880030016556356,0.0956133427080898,0.1635563229369472,0.5663895852574848,0.24432225625714543,-0.6691826918198625
garlic_leafblight,92,0.19596805065574616,0.17513720790576723,0.022002846139301382,0.7794561933534475,1.619511184122712,2.184708146314505
corn_gray_leafspot,92,0.30545798816005904,0.18080199103437244,0.02213844476744176,0.8704980495327895,0.7614448411023819,-0.08692879070082782
cedar_apple_rust,80,0.11957345419710355,0.20492018244731575,0.009165798693305385,0.7540740740737948,2.358068284360425,3.9816872783922967
bean_rust,79,0.5640304776845048,0.14292626041381656,0.12216562452340936,0.9345689563080806,-0.6387360519058725,0.9552592373204063
rice_sheath_blight,76,0.2660160848229581,0.15038599579881473,0.05559841422907901,0.663325031133209,0.7517975878047292,-0.2210900218375098
cabbage_downy_mildew,76,0.2972530619178051,0.18964456344608274,0.038042265049482146,0.753345510120373,0.8791649318835961,-0.08062792390278961
bell_pepper_bacterial_spot,76,0.09400522695425977,0.061299976367222966,0.02015263208282602,0.345776372365649,1.8639814356878248,4.3565826949724595
soybean_rust,75,0.5404469470129852,0.199588024776,0.02484398916754963,0.9760907905835366,-0.493981566109123,-0.1584454246368474
zucchini_yellow_mosaic_virus,73,0.46175558134945305,0.18320897744889753,0.042827765395460564,0.7841380331753519,-0.5805730548975296,-0.6640232184647159
carrot_cavity_spot,72,0.19547261629986556,0.1596549105749777,0.019371069182389705,0.7352733481121249,1.5160396861190648,1.8008797609785026
lettuce_downy_mildew,70,0.48000999434623404,0.18405707060789553,0.061498577418388455,0.8079031992084391,-0.3237441697107608,-0.8176984727087473
ginger_sheath_blight,68,0.24373321047216864,0.2050233032123291,0.01571452645770072,0.8005405405403242,1.226924837557341,0.552704909040743
zucchini_bacterial_wilt,67,0.3763755300550418,0.1405763398389315,0.08004961569982412,0.7108904686568968,0.15204571109946313,-0.39289542593128157
tobacco_brown_spot,64,0.22706255048365048,0.21221506852981814,0.013755258825681306,0.7768420015760058,1.3414345648391233,0.5138635354203003
soybean_brown_spot,64,0.46350942465752143,0.1568882400213414,0.08515836571293944,0.7206432131901753,-0.387193630440752,-0.593900637783118
broccoli_alternaria_leafspot,63,0.24277956979919604,0.22335926726518812,0.010013351134846412,0.777976287152771,1.0356673988128162,-0.22354170019566588
tomato_mosaic_virus,63,0.310937647357259,0.1786046784619494,0.04690032981161564,0.6705645699786297,0.47759629369274764,-0.9085271891600315
basil_downy_mildew,62,0.41339883442261927,0.19604337017972065,0.08185262848103445,0.754513502431019,0.0982599540551965,-1.2693824306720625
carrot_alternaria_leaf_blight,60,0.2102994590607259,0.11962926234767873,0.04779016256275365,0.5417781436509533,0.7541259742576444,-0.01619101691995617
eggplant_cercospora_leafspot,60,0.18780553049863805,0.12333305648228698,0.03199664663965321,0.49165363819946184,0.8192786869438458,-0.3450603544580457
tobacco_blue_mold,60,0.30814441472348414,0.21933678020268318,0.03778132319494848,0.7440460885774832,0.6145329213737639,-0.9440017309357143
bean_halo_blight,56,0.22002181999606565,0.10966628979426783,0.03712136958863176,0.48648934994103554,0.3914157631337805,-0.9246642011516251
cauliflower_alternaria_leafspot,53,0.34801962737197356,0.1919561997692893,0.052002147074610566,0.812968072526526,0.5390693818115933,-0.5300512860269113
cabbage_alternaria_leafspot,52,0.29077584171725246,0.19548790981901362,0.03749122420428496,0.7314047240517795,0.6285100991235079,-0.8524980746811148
bean_mosaic_virus,51,0.5157967093150718,0.1492292534779286,0.20800964711855535,0.8682415674602906,-0.06732875780942268,-0.4777184505307086
eggplant_phomopsis_fruit_rot,46,0.5313122764442232,0.17250756572616652,0.1412180099819468,0.8389314750290231,-0.32440831368154494,-0.6678045638286783
zucchini_downy_mildew,42,0.27246808243212806,0.20850616184693826,0.03448646454031958,0.7027516816531441,0.7227317179420819,-0.8239999948999595
lettuce_mosaic_virus,39,0.2913245892240089,0.16071866431129747,0.033456958377085795,0.6960049970069975,0.5222458879092353,-0.3898448171656299
celery_early_blight,36,0.1557376908188008,0.11914160426102452,0.03694183945625014,0.543478260869184,1.8705923023925162,3.5253945757804495
eggplant_phytophthora_blight,32,0.4065921697094604,0.17328834490033304,0.1441599637475918,0.7970382730211535,0.323852914193979,-0.7158147898710157
bell_pepper_frogeye_leafspot,31,0.10679811165676449,0.141595701580034,0.012598834283116485,0.7675802812844822,3.542378209567285,13.632091412867716
celery_anthracnose,29,0.19270024044263728,0.1284682458163407,0.007055961070559397,0.4426048565121141,0.36135227950501336,-0.9644964194859371
cauliflower_bacterial_soft_rot,29,0.5672088151690778,0.1516362136355396,0.27214176829267256,0.7508963971018492,-0.7423345403335385,-0.6847734722119974
broccoli_downy_mildew,28,0.2964386249021503,0.21716630318474622,0.04734415584415554,0.7671355498721187,0.983836712700337,-0.2089430496936422
tobacco_frogeye_leafspot,27,0.2072661926822844,0.2570913381209674,0.006588926810769735,0.7932742110715177,1.3370747504193097,0.18638958895499647
bell_pepper_powdery_mildew,27,0.37613741131560563,0.1539013650102478,0.1678226405746831,0.7454125187895254,0.5722449246855077,-0.4319708803058515
ginger_leafspot,25,0.11712113254529546,0.13346394661142438,0.009324815694594918,0.5769230769206115,2.0894046616220248,4.013527946276079
coffee_brown_eye_spot,20,0.1369848396362896,0.18203691075267261,0.01802144375258868,0.8192204301072517,2.8161613905998832,8.028045494313819
carrot_cercospora_leaf_blight,19,0.17830835355721036,0.13764181779372603,0.04499256819186056,0.6497449094767199,2.209732309344279,5.316096118539129
tobacco_mosaic_virus,19,0.5984218249494476,0.11203907093508461,0.3758014818697072,0.78490584935897,-0.269816341380816,-0.4947149948307601
broccoli_ring_spot,16,0.41856267069246433,0.29757955533099395,0.030586592178770765,0.7871644638234002,0.104930195006297,-1.7295722723680294
